artist_id,artwork_id,title,date,domaine,medium,type,picture_path
12,800,Bande dessinée La grande menace,1954,"Design graphique, Bande dessinée",Crayon et encre sur papier,graphisme,images/800.jpg
12,801,Bande dessinée L'arme absolue,1982,"Design graphique, Bande dessinée",Crayon et encre sur papier,graphisme,images/801.jpg
12,802,Bande dessinée Le chemin des périls,1983,"Design graphique, Bande dessinée",Crayon et encre sur papier,graphisme,images/802.jpg
12,803,Bande dessinée L'apocalypse,1983,"Design graphique, Bande dessinée",Crayon et encre sur papier,graphisme,images/803.jpg
13,804,Livre Elucubration,1986,"Publication, livre, imprimé, Livre",Sérigraphie sur papier,ouvrage,images/804.jpg
14,805,Livre Sans titre,1993,"Publication, livre, imprimé, Livre","Fusain sur papier, couverture tissus, dépliant 22 pages",ouvrage,images/805.jpg
15,806,"Ce jeudi, l'après-midi",1987,"Publication, livre, imprimé","Livre d'artiste
Livre papier et carton relié",ouvrage,images/806.jpg
15,807,Le Monde,1995,"Publication, livre, imprimé","Livre d'artiste
Livre papier et carton relié",ouvrage,images/807.jpg
15,808,Judith et le bouffon,2011,"Publication, livre, imprimé, Livre","Livre d'artiste 
Papier Munken pure crème 80 g & Munken lynx 170 g",ouvrage,images/808.jpg
15,809,36.05.89,2012,"Publication, livre, imprimé, Portfolio","Livre d'artiste 
14 planches dont 10 photos
Papier Munken lynx 150 g",ouvrage,images/809.jpg
15,810,Que Faire ?,2015,"Publication, livre, imprimé, Livre","Livre d'artiste 
Papier Cyclus Offset 80 g & Multidesign white 115 g",ouvrage,images/810.jpg
15,811,Judith et ses bouffons,2018,"Publication, livre, imprimé, Livre","Livre d'artiste 
Papier Cyclus offset 90 g et carton gris 320 g",ouvrage,images/811.jpg
15,812,0...103,2018,"Publication, livre, imprimé, Livre","Livre d'artiste 
Papier Cyclus offset 90 g et carton gris 320 g",ouvrage,images/812.jpg
16,813,Livre Les beautés de la naine,1986,"Publication, livre, imprimé, Livre",Taille-douce sur papier,ouvrage,images/813.jpg
17,814,Livre Les amours d'Arthur-Toujours-Là et de Monica-Belle-De-Givre,1986,"Publication, livre, imprimé, Livre",Offset,ouvrage,images/814.jpg
18,815,Céramique (sans titre),1983,"Objet/Design, Céramique",,objet,images/815.jpg
19,816,Vase (sans titre),1984,"Objet/Design, Vase",,objet,images/816.jpg
20,817,"Meuble de rangement, de conservation ... Blitz",1983,"Objet/Design, Meuble de rangement, de conservation ...",,objet,images/817.jpg
21,818,Babylone,1994 - 1996,"Architecture intérieure, Revêtement de mur",Rouleaux de papier peint,architecture,images/818.jpg
22,819,Affiche Poissons d'eau douce,s.d.,"Design graphique, Affiche",,graphisme,images/819.jpg
23,820,"Affiche Zur Konfirmation
(Pour la confirmation)",1970,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/820.jpg
23,821,"Affiche Sozialfall
(Cas social)",1971,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/821.jpg
23,822,"Affiche Die Luft gehört allen
(L'air appartient à tout le monde)",1973,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/822.jpg
23,823,"Affiche Am Anfang war das Geld
(Au commencement était l'argent)",1973,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/823.jpg
23,824,"Affiche 225 Jahre Goethe
(Les 225 ans de Goethe)",1974,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/824.jpg
23,825,"Affiche Friedenstauben
(Colombes de la paix)",1974,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/825.jpg
23,826,Affiche Heildelberg,1975,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/826.jpg
23,827,"Affiche Baulöwe
(Mot d'argot signifiant lion qui construit des bâtiments (entrepreneur) et qui gagne bcp d'argent.)",1975,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/827.jpg
23,828,"Affiche Der frieden gefährdet Arbeitsplätze
(La paix menace les emplois)",1978,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/828.jpg
23,829,"Affiche Früh übt sich wer als Held Sterben will
(On s'entraîne tôt pour mourir jeune en héros)",1979,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/829.jpg
23,830,"Affiche Die Gedanken sind frei
(Les pensées sont libres)",1979,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/830.jpg
23,831,"Affiche Hernn Saubermann's Handbibliothek
(La bibliothèque libre service de Monsieur irréprochable)",1979,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/831.jpg
23,832,"Affiche Und neues Leben blüht aus den Ruinen
(Et de nouvelles vies fleurissent des ruines)",1979,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/832.jpg
23,833,"Affiche Wollt ihr das totale BILD ?
(Voulez-vous Bild partout ?)",1980,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/833.jpg
23,834,Affiche Mona Lisa,1981,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/834.jpg
23,835,"Affiche Weiltregierung
(Le gouvernement du monde)",1981,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/835.jpg
23,836,"Affiche Im Mittelpunkt stehet immer der Mencsch
(Au centre se tient toujours l'humain)",1981,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/836.jpg
23,837,"Affiche Stell dir vor es ist Wahltag
(Imagine-toi que c'est le jour des élections)",1982,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/837.jpg
23,838,"Affiche Kapital muss arbeiten
(Le capital doit travailler)",1982,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/838.jpg
23,839,"Affiche Europa ist mehr als die Weinschwemme
(L'Europe est plus qu'une surabondance de vin)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/839.jpg
23,840,"Affiche Europa ist mehr als der Finanzausgleich
(L'Europe est plus qu'une péréquation financière)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/840.jpg
23,841,"Affiche Europa ist mehr als der Butterberg
(L'Europe est plus que la montagne de beurre)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/841.jpg
23,842,"Affiche Mann der Arbeit	aufgewacht
(Homme (du monde) du travail, réveille-toi !)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/842.jpg
23,843,"Affiche Vorsicht Trinkwasser !
(Attention eau potable !)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/843.jpg
23,844,"Affiche Thema Giftberg
(Thème : accumulation de déchets toxiques)",1984,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/844.jpg
23,845,"Affiche Fernsehen macht frei
(La TV rend libre)",1985,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/845.jpg
23,846,Affiche Camping,1985,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/846.jpg
23,847,"Affiche Under täglich Gift
(Notre poison quotidien)",1986,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/847.jpg
23,848,"Affiche Hochsicherheitsreaktor
(Réacteur de haute sécurité)",1986,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/848.jpg
23,849,"Affiche Die Kunst ist frei
(L'art est libre)",1987,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/849.jpg
23,850,"Affiche Schöne Aussichten
(Belles vues)",1987,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/850.jpg
23,851,"Affiche Dürer-Hase
(Le lièvre de Dürer)",1987,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/851.jpg
23,852,"Affiche Urlaub
(Vacances)",1987,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/852.jpg
23,853,"Affiche Entwurf für Günter Wallraffs Taschenbuch ""Und macht euch die Erde untertan""
(Une ébauche pour le livre de poche de Günter Wallraffs ""Et asservissons le monde"")",1987,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/853.jpg
23,854,"Affiche Auf der Barrikade (1789-1989)
(Sur la barricade (1789-1989))",1988,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/854.jpg
23,855,"Affiche Zur Olympiade
(Pour les olympiades)",1988,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/855.jpg
23,856,"Affiche Die Drogen-Mafia
(La mafia des drogues)",1988,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/856.jpg
23,857,"Affiche Alaska-Öl-sardinen
(Alaska-sardines à l'huile)",1989,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/857.jpg
23,858,"Affiche Der Boden der freiheitlich demokratischen Grundordnung (FDGO)
(La base de l'ordre libre et démocratique)",1989,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/858.jpg
23,859,Affiche Banane,1990,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/859.jpg
23,860,"Affiche Brandenburger Tor, Rückseite
(La porte de Brandburg, l'envers du décor)",1990,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/860.jpg
23,861,"Affiche Komm inst offene, Freund
(Entre dans l'ouverture, l'ami)",1991,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/861.jpg
23,862,"Affiche Nord-Süd-Gefälle
(L'écart Nord-Sud)",1991,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/862.jpg
23,863,"Affiche Arkteneinsicht
(Accès aux dossiers)",1992,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/863.jpg
23,864,"Affiche Geheimnisverrat
(Divulgation d'un secret d'Etat)",1992,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/864.jpg
23,865,"Affiche Ich sehe fern
(Je regarde loin/je regarde la télévision)",1992,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/865.jpg
23,866,"Affiche Saubere Energie aus der Steckdose
(L'énergie propre de la prise de courant)",1992,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/866.jpg
23,867,"Affiche Kultur gegen Gewalt
(Culture contre violence)",1992,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/867.jpg
23,868,"Affiche Ich bin stolz, ein Deutscher zu sein
(Je suis fière d'être un Allemand)",1993,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/868.jpg
23,869,"Affiche Freizeitpark Deutschland
(Parc d'attraction Allemagne)",1993,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/869.jpg
23,870,Affiche Sarajewo,1994,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/870.jpg
23,871,Affiche Coca-Cola,1994,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/871.jpg
23,872,"Affiche Bitte melde Dich
(Manifeste-toi s'il te plait)",1995,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/872.jpg
23,873,"Affiche Tendenz steigend
(Tendance à la hausse)",1995,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/873.jpg
23,874,"Affiche Die selbstbewusste Nation
(La nation sûre d'elle-même)",1995,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/874.jpg
23,875,"Affiche Uniwersität
(L'Allemagne comme lieu d'implantation d'industries)",1996,"Design graphique, Affiche",Papier sérigraphié,graphisme,images/875.jpg
