id,name,latitude,longitude,type,color
1,Frac Alsace,48.2555962,7.4576113,frac,#7678ED
2,Artothèque Nouvelle Acquitaine,45.828945,1.26029,frac,#7678ED
3,Frac Bretange,48.11198,-1.67429,frac,#7678ED
4,Frac Grand Large HDF,51.048044,2.375822,frac,#7678ED
5,Frac Ile-de-France,48.8776787,2.3858246,frac,#7678ED
6,Frac Lorraine,49.1207018,6.1794718,frac,#7678ED
7,Frac Normandie,49.1817741394043,-0.3795659840106964,frac,#7678ED
8,Frac Nouvelle Acquitaine Méca,44.8279673,-0.5516435,frac,#7678ED
9,Frac Occitanie Montpellier,43.6062805,3.8694643,frac,#7678ED
10,Frac Poitou_Charentes,45.6544575,0.1582617,frac,#7678ED
11,Frac Rhônes_Alpes,45.762473,4.872415,frac,#7678ED
,,,,,
12,Jacques MARTIN,48.584614,7.7507127,artist,#3D348B
13,Jean-Claude FOREST,48.840627,2.5077111,artist,#F35B04
14,Godwin HOFFMANN,49.919924,7.2757644,artist,#F35B04
15,Jean-Marie KRAUTH,48.8172236,7.7885978,artist,#F35B04
16,"Jean-Marc SCANREIGH (Jean-Marc PETIT, dit)",31.6258257,-7.9891608,artist,#F35B04
17,Petra WERLE,48.584614,7.7507127,artist,#F35B04
18,Claude CHAMPY,48.817399,1.9476363,artist,#F7B801
19,Jean-François FOUILHOUX,48.6137734,2.4818087,artist,#F7B801
20,Bernard SPITZ,48.7419909,7.3625953,artist,#F7B801
,,,,,
21,Georg ETTL,49.1980429,12.2718828,artist,#6FC572
22,Jean-Jacques RULLIER,45.6185284,6.7694313,artist,#3D348B
23,Klaus STAECK,51.1825771,14.0139733,artist,#3D348B
24,Martine ABALLÉA,40.7127281,-74.0060152,artist,#F7B801
25,François CURLET,48.8588897,2.320041,artist,#F7B801
26,Robert Jean DEBLANDER,48.8588897,2.320041,artist,#F7B801
27,Jean-Claude DUBOYS,45.8354243,1.2644847,artist,#F7B801
28,"HAGUIKO (Hagiko FUKUYAMA, dite)",33.2185408,130.1296585,artist,#F7B801
29,Richard HAMILTON,51.5074456,-0.1277653,artist,#F7B801
30,Mario PRASSINOS,41.006381,28.9758715,artist,#F7B801
31,Jean-Charles PROLONGEAU,42.6985304,2.8953121,artist,#F7B801
32,Martin SZEKELY,48.8588897,2.320041,artist,#F7B801
33,Gaston CHAISSAC,47.4885365,3.9070658,artist,#F35B04
34,Claude CLOSKY,48.8588897,2.320041,artist,#F35B04
35,Robert CUMMING,42.2625621,-71.8018877,artist,#F35B04
36,Gabriele DI MATTEO,40.7879211,14.3682813,artist,#F35B04
37,Joseph GRIGELY,42.1018764,-72.5886727,artist,#F35B04
38,Edmund KUPPEL,47.8150174,8.6824939,artist,#F35B04
39,Gilles MAHÉ,48.5618483,-3.1502007,artist,#F35B04
40,Allen RUPPERSBERG,41.4996574,-81.6936772,artist,#F35B04
41,Jean SABRIER,44.7411574,-0.6841225,artist,#F35B04
42,Jean-Joseph SANFOURCHE,45.9366592,-0.9616399,artist,#F35B04
43,Joe SCANLAN,39.6047852,-82.8290631,artist,#F35B04
,,,,,
44,Geneviève ASSE,47.6586772,-2.7599079,artist,#F35B04
45,Robert BARRY,40.7127281,-74.0060152,artist,#F35B04
46,Jacques BAUDUIN,47.6525123,-2.9175888,artist,#F35B04
47,Denis BRIAND,48.8588897,2.320041,artist,#F35B04
48,Marcel BROODTHAERS,50.3077751,5.119426,artist,#F35B04
49,"Camille BRYEN (Camille BRIAND, dit)",47.2186371,-1.5541362,artist,#F35B04
50,Gérard COLLIN-THIÉBAUT,48.2730754,7.283351,artist,#F35B04
51,Nicolas FÉDORENKO,48.4882362,-3.9978134,artist,#F35B04
52,Raymond HAINS,48.5141134,-2.7603283,artist,#F35B04
53,Al HANSEN,40.7127281,-74.0060152,artist,#F35B04
54,Iain BAXTER,54.5760419,-1.2344047,artist,#F35B04
55,Allan KAPROW,39.3642852,-74.4229351,artist,#F35B04
56,Alain KIRILI,48.8588897,2.320041,artist,#F35B04
57,Alison KNOWLES,40.7127281,-74.0060152,artist,#F35B04
58,Jean LE GAC,44.1253665,4.0852818,artist,#F35B04
59,"LEFEVRE JEAN CLAUDE (Jean Claude LEFÈVRE, dit)",49.047792,-1.4454857,artist,#F35B04
60,Mehryl LEVISSE,49.047792,-1.4454857,artist,#F35B04
61,Jackson MAC LOW,41.8755616,-87.6244212,artist,#F35B04
62,George MACIUNAS,54.8982139,23.9044817,artist,#F35B04
63,Gilles MAHÉ,48.5618483,-3.1502007,artist,#F35B04
